spot,lead_hours,target,model,rmse,mae,bias,r2,angular_mae_deg,rows
Schausende,7,speed,iconeu,4.96633720684579,4.391785714285714,3.7948949579831934,-0.7254865105452053,,476
Schausende,7,speed,ifs,4.564177652881056,4.121344537815125,3.5009243697479,-0.40946413619785593,,238
Schausende,7,speed,mean_ensemble,5.225425931970535,4.65350104821803,4.161146051712088,-0.9139152265294264,,477
Schausende,7,speed,median_ensemble,5.154204406190799,4.593249475890986,4.086918238993711,-0.8620982026872461,,477
Schausende,7,speed,metno,6.974708451483351,6.0329411764705885,5.594789915966387,-2.294999464130362,,238
Schausende,7,speed,wrfeuh,4.995876604108458,4.379782608695652,3.938130434782609,-0.8867185825724913,,230
Schausende,8,speed,XGBoost,1.2126315688405371,0.9216062358649788,0.3045222580590718,0.8957984027871271,,474
Schausende,8,speed,gfs,6.855521812735667,6.078776371308018,5.826033755274262,-2.5363820025536543,,237
Schausende,8,speed,harmeu,5.053179222347508,4.507426160337552,3.867004219409283,-0.8094477175174937,,474
Schausende,8,speed,iconeu,4.885055571074853,4.287383966244725,3.7328270042194096,-0.6910468998049335,,474
Schausende,8,speed,ifs,4.409852413072885,3.9591525423728817,3.4837288135593223,-0.4578828031870439,,236
Schausende,8,speed,mean_ensemble,5.137144317093499,4.582271448663854,4.08654711673699,-0.8700799264891896,,474
Schausende,8,speed,median_ensemble,5.07684503261938,4.529641350210971,4.019219409282701,-0.8264359618764174,,474
Schausende,8,speed,metno,6.921427549431829,6.033813559322034,5.668389830508474,-2.604521944069319,,236
Schausende,8,speed,wrfeuh,4.837209576938762,4.229122807017544,3.7816666666666667,-0.8970201428039044,,228
Schausende,9,speed,XGBoost,1.3755099926560332,0.9685295516631578,0.23745050682105268,0.8740685998287308,,475
Schausende,9,speed,gfs,6.960008632758097,6.249075630252101,5.934033613445379,-2.3661579885138857,,238
Schausende,9,speed,harmeu,5.094734371465256,4.524715789473683,3.8696421052631575,-0.7276255732789447,,475
Schausende,9,speed,icon,5.386227144963612,4.793109243697478,4.225210084033613,-1.0159709397822145,,238
Schausende,9,speed,iconeu,4.958473717120575,4.372869198312236,3.721856540084389,-0.6333561403220505,,474
Schausende,9,speed,ifs,4.566968637033275,4.149367088607596,3.5815189873417728,-0.4440332221723402,,237
Schausende,9,speed,mean_ensemble,5.185236643910059,4.646581453634086,4.055832581453634,-0.7895494171394366,,475
Schausende,9,speed,median_ensemble,5.126538834443043,4.595157894736842,3.9955368421052633,-0.7492627003797612,,475
Schausende,9,speed,metno,6.95463458379323,6.085864978902953,5.611772151898733,-2.3658394722045197,,237
Schausende,9,speed,wrfeuh,4.868125003328791,4.309082969432315,3.797205240174672,-0.7410930507343858,,229
Schausende,10,speed,XGBoost,1.3619047517271707,0.9355871644117647,0.30469551886554624,0.8701288686175892,,476
Schausende,10,speed,gfs,6.866892591671011,6.086596638655462,5.902815126050419,-2.415829760962217,,238
Schausende,10,speed,harmeu,5.078747633128506,4.504978991596638,3.8854411764705876,-0.8060610204839704,,476
Schausende,10,speed,iconeu,4.986524382790891,4.405987394957983,3.811281512605042,-0.7410652502939841,,476
Schausende,10,speed,ifs,4.402022214625804,3.9507594936708856,3.5478902953586497,-0.40035672768075026,,237
Schausende,10,speed,mean_ensemble,5.207059985520664,4.649096638655463,4.131491596638655,-0.8984725201212069,,476
Schausende,10,speed,median_ensemble,5.12831784385124,4.587415966386555,4.051197478991597,-0.8414885459962653,,476
Schausende,10,speed,metno,6.786957708480941,5.877215189873417,5.523291139240507,-2.3422026913625666,,237
Schausende,10,speed,wrfeuh,4.928621559863299,4.29,3.962663755458515,-0.7995517628176312,,229
Schausende,11,speed,XGBoost,1.2700669301723828,0.9406610378012685,0.12691006613107822,0.8858731762721989,,473
Schausende,11,speed,gfs,6.772462079335236,5.957932489451476,5.760295358649789,-2.0717982779090907,,237
Schausende,11,speed,harmeu,4.991653413999897,4.434376321353065,3.8246934460887956,-0.7628824774238436,,473
Schausende,11,speed,iconeu,4.905512625875258,4.312093023255814,3.75154334038055,-0.7025634665021991,,473
Schausende,11,speed,ifs,4.434266558885949,4.022923728813558,3.464618644067797,-0.3126517845792738,,236
Schausende,11,speed,mean_ensemble,5.1380581479382865,4.5734319943622275,4.093939393939394,-0.8678093463143881,,473
Schausende,11,speed,median_ensemble,5.0529924569067015,4.50553911205074,4.007568710359408,-0.80647441166384,,473
Schausende,11,speed,metno,6.800381158310546,5.855254237288136,5.438559322033897,-2.095780366230623,,236
Schausende,11,speed,wrfeuh,5.021152494041687,4.366008771929825,3.9571491228070177,-0.7380062769771047,,228
Schausende,12,speed,XGBoost,1.3545486753473535,0.9510897538818566,0.14617438160337554,0.8781034393215754,,474
Schausende,12,speed,gfs,6.734275887573793,5.934514767932489,5.617637130801686,-1.903289813185581,,237
Schausende,12,speed,harmeu,5.063972252975223,4.519556962025315,3.844198312236287,-0.7036675644453714,,474
Schausende,12,speed,icon,5.231763504506737,4.594599156118143,3.9724894514767928,-0.7522851860020974,,237
Schausende,12,speed,iconeu,4.977286023561189,4.386645569620253,3.737025316455696,-0.6458392583511328,,474
Schausende,12,speed,ifs,4.391191008664536,3.9844915254237288,3.3295762711864407,-0.23237172717953514,,236
Schausende,12,speed,mean_ensemble,5.182619196994554,4.634250552541692,4.068490054249548,-0.7844353540122946,,474
Schausende,12,speed,median_ensemble,5.101761154507052,4.566308016877636,3.9739451476793244,-0.7291890061743787,,474
Schausende,12,speed,metno,6.786511828370313,5.8941949152542366,5.3488559322033895,-1.9470697047380323,,236
Schausende,12,speed,wrfeuh,4.924507990385275,4.275438596491229,3.835614035087719,-0.7559091069667105,,228
