lead_hours,target,rmse,mae,bias,r2,coverage,avg_pi_width
1,speed,1.2417435944670268,0.8972691148979929,0.3915868712790574,0.8916849330239167,0.4342379958246347,1.1493770796192455
1,gust,2.6042640406891464,2.076786119176351,1.8153454022517033,0.7761457353568236,0.4279749478079332,3.0337002608552104
2,speed,1.1308684420922026,0.8567655125986628,0.1797050839712639,0.9090650935243269,0.7394957983193278,2.404425780520719
2,gust,2.4400973476470127,1.9558236346425129,1.5179950557536437,0.8002140496259282,0.6113445378151261,4.122156873222162
3,speed,1.3229034179862564,0.9273156826526114,0.2574786678974984,0.8832832948442065,0.559748427672956,1.5448614633108328
3,gust,2.5749426298738087,1.9768698519180907,1.6504764834389996,0.7827211847959237,0.5786163522012578,3.74640712374961
4,speed,1.3020727965725898,0.9113284297069246,0.4310932090990713,0.8810586068335992,0.5794979079497908,1.6499282120740573
4,gust,2.6638645425941374,2.0985226404766655,1.8085098063846012,0.7660138368392154,0.4518828451882845,3.041189900067062
5,speed,1.2320289750031652,0.9172088916552694,0.3015827350691745,0.8922587542818748,0.7557894736842106,2.4499963537437055
5,gust,2.513125952868742,1.9291637473859284,1.564868919834338,0.7883702970201859,0.6610526315789473,4.341393418563041
6,speed,1.3363092129588416,0.8972261113880062,0.1928713693688897,0.8809431364402504,0.7310924369747899,2.304248699468725
6,gust,2.501051670910552,1.9047904787644616,1.5464862587171442,0.7950168174092688,0.6029411764705882,3.8162666511695904
7,speed,1.2984896947607274,0.9238495464894756,0.3240561122864297,0.8818166436064468,0.5932914046121593,1.7332138373256978
7,gust,2.622330938391864,2.0532051420761603,1.722962799247206,0.7733087826291934,0.5408805031446541,3.739085278557029
8,speed,1.212631577221281,0.9216062443719132,0.3045222650550086,0.8957984013468102,0.7236286919831224,2.352779680010639
8,gust,2.5150794086194335,1.9954044577844032,1.649005164295309,0.7882563167088305,0.7616033755274262,5.61978496785707
9,speed,1.375509988343084,0.9685295512099016,0.2374505006990934,0.8740686006184535,0.6905263157894737,2.270186461374384
9,gust,2.626857639951354,1.9375063979048477,1.4783924953711662,0.7741592971221058,0.6694736842105263,4.413444610852693
10,speed,1.3619047452149915,0.93558716391315,0.304695518116991,0.870128869859591,0.6659663865546218,1.9356689960255336
10,gust,2.7908645418743414,2.13186730543355,1.8299882483657672,0.7433314060389605,0.2142857142857142,1.569459460971734
11,speed,1.2700669187070577,0.9406610356778472,0.126910070773159,0.885873178332722,0.8033826638477801,2.938474159692358
11,gust,2.6220212684157653,1.98670833314448,1.554946152493515,0.7700843458916078,0.6490486257928119,4.566692146801296
12,speed,1.3545486636886577,0.9510897535538372,0.1461743782718473,0.87810344141992,0.770042194092827,2.8550834629847537
12,gust,2.5280111442723063,1.8771437906967436,1.418008425552634,0.791124037888836,0.6244725738396625,3.833282094046035
